datetime,AQI_PM2.5,Parameter_PM2.5,Unit_PM2.5,Value_PM2.5,Category_PM2.5,AQI_OZONE,Parameter_OZONE,Unit_OZONE,Value_OZONE,Category_OZONE
2020-07-17T22:00:00,32.0,PM2.5,UG/M3,7.7,1.0,34.0,OZONE,PPB,37.0,1.0
2020-07-17T23:00:00,33.0,PM2.5,UG/M3,7.9,1.0,31.0,OZONE,PPB,34.0,1.0
2020-07-18T00:00:00,33.0,PM2.5,UG/M3,7.9,1.0,29.0,OZONE,PPB,31.0,1.0
2020-07-18T01:00:00,33.0,PM2.5,UG/M3,8.0,1.0,28.0,OZONE,PPB,30.0,1.0
2020-07-18T02:00:00,33.0,PM2.5,UG/M3,7.9,1.0,27.0,OZONE,PPB,29.0,1.0
2020-07-18T03:00:00,31.0,PM2.5,UG/M3,7.5,1.0,24.0,OZONE,PPB,26.0,1.0
2020-07-18T04:00:00,30.0,PM2.5,UG/M3,7.3,1.0,23.0,OZONE,PPB,25.0,1.0
2020-07-18T05:00:00,29.0,PM2.5,UG/M3,7.0,1.0,23.0,OZONE,PPB,25.0,1.0
2020-07-18T06:00:00,28.0,PM2.5,UG/M3,6.7,1.0,24.0,OZONE,PPB,26.0,1.0
2020-07-18T07:00:00,27.0,PM2.5,UG/M3,6.5,1.0,25.0,OZONE,PPB,27.0,1.0
2020-07-18T08:00:00,27.0,PM2.5,UG/M3,6.5,1.0,28.0,OZONE,PPB,30.0,1.0
2020-07-18T09:00:00,28.0,PM2.5,UG/M3,6.7,1.0,31.0,OZONE,PPB,34.0,1.0
2020-07-18T10:00:00,29.0,PM2.5,UG/M3,6.9,1.0,36.0,OZONE,PPB,39.0,1.0
2020-07-18T11:00:00,33.0,PM2.5,UG/M3,7.8,1.0,42.0,OZONE,PPB,45.0,1.0
2020-07-18T12:00:00,35.0,PM2.5,UG/M3,8.5,1.0,47.0,OZONE,PPB,51.0,1.0
2020-07-18T13:00:00,37.0,PM2.5,UG/M3,8.8,1.0,51.0,OZONE,PPB,55.0,2.0
2020-07-18T14:00:00,38.0,PM2.5,UG/M3,9.1,1.0,61.0,OZONE,PPB,58.0,2.0
2020-07-18T15:00:00,40.0,PM2.5,UG/M3,9.5,1.0,64.0,OZONE,PPB,59.0,2.0
2020-07-18T16:00:00,43.0,PM2.5,UG/M3,10.2,1.0,67.0,OZONE,PPB,60.0,2.0
2020-07-18T17:00:00,45.0,PM2.5,UG/M3,10.7,1.0,71.0,OZONE,PPB,61.0,2.0
2020-07-18T18:00:00,46.0,PM2.5,UG/M3,11.1,1.0,67.0,OZONE,PPB,60.0,2.0
2020-07-18T19:00:00,48.0,PM2.5,UG/M3,11.4,1.0,58.0,OZONE,PPB,57.0,2.0
2020-07-18T20:00:00,49.0,PM2.5,UG/M3,11.8,1.0,49.0,OZONE,PPB,53.0,1.0
2020-07-18T21:00:00,50.0,PM2.5,UG/M3,12.0,1.0,47.0,OZONE,PPB,51.0,1.0
2020-07-18T22:00:00,52.0,PM2.5,UG/M3,12.4,2.0,45.0,OZONE,PPB,49.0,1.0
2020-07-18T23:00:00,51.0,PM2.5,UG/M3,12.2,2.0,44.0,OZONE,PPB,48.0,1.0
2020-07-19T00:00:00,50.0,PM2.5,UG/M3,12.0,1.0,41.0,OZONE,PPB,44.0,1.0
2020-07-19T01:00:00,50.0,PM2.5,UG/M3,11.9,1.0,37.0,OZONE,PPB,40.0,1.0
2020-07-19T02:00:00,51.0,PM2.5,UG/M3,12.2,2.0,34.0,OZONE,PPB,37.0,1.0
2020-07-19T03:00:00,52.0,PM2.5,UG/M3,12.8,2.0,32.0,OZONE,PPB,35.0,1.0
