datetime,AQI_PM2.5,AQI_OZONE
2021-03-01T00:00:00,21.0,21
2021-03-01T01:00:00,20.0,21
2021-03-01T02:00:00,19.0,20
2021-03-01T03:00:00,18.0,19
2021-03-01T04:00:00,19.0,17
2021-03-01T05:00:00,19.0,13
2021-03-01T06:00:00,18.0,10
2021-03-01T07:00:00,18.0,7
2021-03-01T08:00:00,18.0,6
2021-03-01T09:00:00,18.0,6
2021-03-01T10:00:00,18.0,6
2021-03-01T11:00:00,19.0,9
2021-03-01T12:00:00,20.0,13
2021-03-01T13:00:00,20.0,18
2021-03-01T14:00:00,21.0,21
2021-03-01T15:00:00,22.0,25
2021-03-01T16:00:00,23.0,27
2021-03-01T17:00:00,23.0,30
2021-03-01T18:00:00,23.0,31
2021-03-01T19:00:00,23.0,32
2021-03-01T20:00:00,23.0,32
2021-03-01T21:00:00,21.0,33
2021-03-01T22:00:00,20.0,33
2021-03-01T23:00:00,20.0,33
2021-03-02T00:00:00,19.0,34
2021-03-02T01:00:00,19.0,35
2021-03-02T02:00:00,18.0,35
2021-03-02T03:00:00,18.0,34
2021-03-02T04:00:00,18.0,34
2021-03-02T05:00:00,17.0,34
2021-03-02T06:00:00,17.0,34
2021-03-02T07:00:00,17.0,34
2021-03-02T08:00:00,16.0,34
2021-03-02T09:00:00,16.0,34
2021-03-02T10:00:00,16.0,34
2021-03-02T11:00:00,16.0,35
2021-03-02T12:00:00,15.0,35
2021-03-02T13:00:00,15.0,36
2021-03-02T14:00:00,15.0,36
2021-03-02T15:00:00,15.0,35
2021-03-02T16:00:00,15.0,34
2021-03-02T17:00:00,15.0,32
2021-03-02T18:00:00,16.0,31
2021-03-02T19:00:00,17.0,27
2021-03-02T20:00:00,18.0,24
2021-03-02T21:00:00,19.0,20
2021-03-02T22:00:00,20.0,18
2021-03-02T23:00:00,19.0,14
2021-03-03T00:00:00,20.0,11
2021-03-03T01:00:00,20.0,9
2021-03-03T02:00:00,21.0,7
2021-03-03T03:00:00,22.0,6
2021-03-03T04:00:00,23.0,6
2021-03-03T05:00:00,23.0,6
2021-03-03T06:00:00,24.0,6
2021-03-03T07:00:00,25.0,9
2021-03-03T08:00:00,27.0,12
2021-03-03T09:00:00,28.0,15
2021-03-03T10:00:00,28.0,19
2021-03-03T11:00:00,29.0,23
2021-03-03T12:00:00,30.0,27
2021-03-03T13:00:00,31.0,30
2021-03-03T14:00:00,31.0,31
2021-03-03T15:00:00,32.0,31
2021-03-03T16:00:00,33.0,30
2021-03-03T17:00:00,34.0,29
2021-03-03T18:00:00,35.0,28
2021-03-03T19:00:00,35.0,25
2021-03-03T20:00:00,35.0,23
2021-03-03T21:00:00,35.0,20
2021-03-03T22:00:00,35.0,19
2021-03-03T23:00:00,34.0,19
2021-03-04T00:00:00,34.0,19
2021-03-04T01:00:00,34.0,19
2021-03-04T02:00:00,33.0,19
2021-03-04T03:00:00,33.0,18
2021-03-04T04:00:00,33.0,19
2021-03-04T05:00:00,32.0,19
2021-03-04T06:00:00,32.0,20
2021-03-04T07:00:00,30.0,22
2021-03-04T08:00:00,30.0,23
2021-03-04T09:00:00,29.0,24
2021-03-04T10:00:00,28.0,26
2021-03-04T11:00:00,27.0,29
2021-03-04T12:00:00,25.0,31
2021-03-04T13:00:00,24.0,32
2021-03-04T14:00:00,23.0,33
2021-03-04T15:00:00,22.0,33
2021-03-04T16:00:00,20.0,34
2021-03-04T17:00:00,18.0,34
2021-03-04T18:00:00,17.0,34
2021-03-04T19:00:00,15.0,34
2021-03-04T20:00:00,15.0,34
2021-03-04T21:00:00,13.0,34
2021-03-04T22:00:00,13.0,34
2021-03-04T23:00:00,13.0,34
2021-03-05T00:00:00,13.0,34
2021-03-05T01:00:00,13.0,34
2021-03-05T02:00:00,13.0,33
2021-03-05T03:00:00,13.0,32
2021-03-05T04:00:00,13.0,31
2021-03-05T05:00:00,12.0,31
2021-03-05T06:00:00,12.0,31
2021-03-05T07:00:00,12.0,31
2021-03-05T08:00:00,12.0,31
2021-03-05T09:00:00,11.0,32
2021-03-05T10:00:00,12.0,32
2021-03-05T11:00:00,12.0,34
2021-03-05T12:00:00,13.0,35
2021-03-05T13:00:00,13.0,36
2021-03-05T14:00:00,13.0,36
2021-03-05T15:00:00,14.0,36
2021-03-05T16:00:00,14.0,36
2021-03-05T17:00:00,15.0,35
2021-03-05T18:00:00,15.0,35
2021-03-05T19:00:00,15.0,35
2021-03-05T20:00:00,16.0,34
2021-03-05T21:00:00,16.0,33
2021-03-05T22:00:00,17.0,33
2021-03-05T23:00:00,17.0,33
2021-03-06T00:00:00,17.0,33
2021-03-06T01:00:00,17.0,32
2021-03-06T02:00:00,18.0,31
2021-03-06T03:00:00,18.0,31
2021-03-06T04:00:00,18.0,31
2021-03-06T05:00:00,18.0,31
2021-03-06T06:00:00,18.0,31
2021-03-06T07:00:00,19.0,31
2021-03-06T08:00:00,19.0,31
2021-03-06T09:00:00,19.0,31
2021-03-06T10:00:00,19.0,31
2021-03-06T11:00:00,20.0,32
2021-03-06T12:00:00,20.0,32
2021-03-06T13:00:00,20.0,32
2021-03-06T14:00:00,19.0,32
2021-03-06T15:00:00,20.0,32
2021-03-06T16:00:00,20.0,31
2021-03-06T17:00:00,20.0,31
2021-03-06T18:00:00,20.0,30
2021-03-06T19:00:00,20.0,29
2021-03-06T20:00:00,20.0,28
2021-03-06T21:00:00,20.0,26
2021-03-06T22:00:00,19.0,26
2021-03-06T23:00:00,19.0,25
2021-03-07T00:00:00,19.0,26
2021-03-07T01:00:00,19.0,26
2021-03-07T02:00:00,18.0,26
2021-03-07T03:00:00,18.0,27
2021-03-07T04:00:00,18.0,27
2021-03-07T05:00:00,18.0,29
2021-03-07T06:00:00,18.0,29
2021-03-07T07:00:00,18.0,30
2021-03-07T08:00:00,18.0,31
2021-03-07T09:00:00,18.0,31
2021-03-07T10:00:00,18.0,32
2021-03-07T11:00:00,18.0,33
2021-03-07T12:00:00,18.0,34
2021-03-07T13:00:00,18.0,34
2021-03-07T14:00:00,18.0,34
2021-03-07T15:00:00,17.0,33
2021-03-07T16:00:00,17.0,33
2021-03-07T17:00:00,17.0,32
2021-03-07T18:00:00,17.0,31
2021-03-07T19:00:00,18.0,31
2021-03-07T20:00:00,18.0,29
2021-03-07T21:00:00,18.0,28
2021-03-07T22:00:00,18.0,27
2021-03-07T23:00:00,18.0,26
2021-03-08T00:00:00,18.0,25
2021-03-08T01:00:00,18.0,24
2021-03-08T02:00:00,18.0,24
2021-03-08T03:00:00,18.0,23
2021-03-08T04:00:00,18.0,23
2021-03-08T05:00:00,18.0,23
2021-03-08T06:00:00,18.0,24
2021-03-08T07:00:00,18.0,25
2021-03-08T08:00:00,18.0,27
2021-03-08T09:00:00,19.0,28
2021-03-08T10:00:00,19.0,30
2021-03-08T11:00:00,20.0,32
2021-03-08T12:00:00,20.0,35
2021-03-08T13:00:00,20.0,37
2021-03-08T14:00:00,21.0,38
2021-03-08T15:00:00,22.0,37
2021-03-08T16:00:00,23.0,35
2021-03-08T17:00:00,23.0,32
2021-03-08T18:00:00,24.0,29
2021-03-08T19:00:00,25.0,25
2021-03-08T20:00:00,25.0,22
2021-03-08T21:00:00,26.0,19
2021-03-08T22:00:00,28.0,14
2021-03-08T23:00:00,29.0,12
2021-03-09T00:00:00,31.0,11
2021-03-09T01:00:00,33.0,10
2021-03-09T02:00:00,34.0,9
2021-03-09T03:00:00,35.0,8
2021-03-09T04:00:00,35.0,6
2021-03-09T05:00:00,36.0,6
2021-03-09T06:00:00,37.0,7
2021-03-09T07:00:00,38.0,10
2021-03-09T08:00:00,38.0,14
2021-03-09T09:00:00,38.0,19
2021-03-09T10:00:00,38.0,23
2021-03-09T11:00:00,39.0,29
2021-03-09T12:00:00,39.0,34
2021-03-09T13:00:00,44.0,39
2021-03-09T14:00:00,44.0,42
2021-03-09T15:00:00,35.0,44
2021-03-09T16:00:00,38.0,44
2021-03-09T17:00:00,43.0,36
2021-03-09T18:00:00,43.0,36
2021-03-09T19:00:00,,36
2021-03-10T09:00:00,,20
2021-03-10T10:00:00,46.0,21
2021-03-10T11:00:00,45.0,31
2021-03-10T12:00:00,43.0,32
2021-03-10T13:00:00,33.0,32
2021-03-10T14:00:00,31.0,34
2021-03-10T15:00:00,35.0,34
2021-03-10T16:00:00,36.0,33
2021-03-10T17:00:00,36.0,31
2021-03-10T18:00:00,37.0,29
2021-03-10T19:00:00,38.0,27
2021-03-10T20:00:00,39.0,26
2021-03-10T21:00:00,41.0,25
