datetime,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Conditions
2019-02-01T00:00:00,22.3,22.3,22.3,19.0,86.73,,1.1,,85.0,,0.0,,0.0,9.9,0.0,1020.0,Clear
2019-02-01T01:00:00,20.3,20.3,20.3,17.2,87.29,,1.6,,80.0,,0.0,,0.0,9.9,0.0,1020.4,Clear
2019-02-01T02:00:00,20.3,20.3,20.3,17.6,89.31,,2.9,,332.0,,0.0,,0.0,9.9,0.0,1020.3,Clear
2019-02-01T03:00:00,19.0,19.0,19.0,15.8,86.86,,1.6,,80.0,,0.0,,0.0,9.9,0.0,1020.6,Clear
2019-02-01T04:00:00,18.3,18.3,18.3,16.3,91.73,,1.5,,73.0,,0.0,,0.0,9.9,0.0,1020.5,Clear
2019-02-01T05:00:00,18.4,18.4,18.4,15.4,87.95,,1.1,,75.0,,0.0,,0.0,9.9,0.0,1020.5,Clear
2019-02-01T06:00:00,18.8,18.8,18.8,16.3,89.73,,0.0,,0.0,,0.0,,0.0,9.9,0.0,1020.7,Clear
2019-02-01T07:00:00,16.7,16.7,16.7,14.0,88.9,,2.5,,268.0,,0.0,,0.0,9.9,0.0,1021.6,Clear
2019-02-01T08:00:00,17.7,17.7,17.7,14.7,88.02,,2.2,,72.0,,0.0,,0.0,9.9,0.0,1021.9,Clear
2019-02-01T09:00:00,24.3,24.3,24.3,20.9,86.76,,2.0,,67.0,,0.0,,0.0,9.9,0.0,1022.1,Clear
2019-02-01T10:00:00,30.4,30.4,30.4,26.1,83.93,,2.5,,73.0,,0.0,,0.0,9.9,0.0,1022.6,Clear
2019-02-01T11:00:00,38.9,38.9,38.9,30.6,71.93,,2.3,,75.0,,0.0,,0.0,9.9,0.0,1022.4,Clear
2019-02-01T12:00:00,46.9,46.9,46.9,31.7,55.47,,3.8,,253.0,45.4,0.0,,0.0,9.9,0.0,1021.9,Clear
2019-02-01T13:00:00,51.2,51.2,51.2,31.5,46.76,,8.1,,183.0,,0.0,,0.0,9.9,0.0,1020.7,Clear
2019-02-01T14:00:00,53.4,53.4,53.4,30.9,42.09,,9.3,,183.0,,0.0,,0.0,9.9,0.0,1019.9,Clear
2019-02-01T15:00:00,54.6,54.6,54.6,31.0,40.46,,10.8,,203.0,,0.0,,0.0,9.9,0.0,1019.5,Clear
2019-02-01T16:00:00,54.7,54.7,54.7,32.4,42.65,,11.6,,192.0,,0.0,,0.0,9.9,0.0,1019.3,Clear
2019-02-01T17:00:00,52.6,52.6,52.6,34.0,49.04,,8.6,,205.0,,0.0,,0.0,9.9,0.0,1019.2,Clear
2019-02-01T18:00:00,46.0,46.0,46.0,34.1,63.11,,5.7,,209.0,43.0,0.0,,0.0,9.9,0.0,1019.0,Clear
2019-02-01T19:00:00,40.5,40.5,40.5,33.5,76.12,,4.2,,159.0,37.7,0.0,,0.0,9.9,0.0,1019.7,Clear
2019-02-01T20:00:00,37.3,37.3,37.3,32.3,81.92,,2.4,,53.0,,0.0,,0.0,9.9,0.0,1019.9,Clear
2019-02-01T21:00:00,37.7,37.7,37.7,33.8,85.76,,2.0,,85.0,,0.0,,0.0,9.9,0.0,1020.0,Clear
2019-02-01T22:00:00,37.8,37.8,37.8,34.4,87.45,,3.6,,257.0,35.3,0.0,,0.0,9.9,18.7,1020.0,Clear
2019-02-01T23:00:00,38.9,38.9,38.9,37.3,93.64,,2.9,,261.0,,0.0,,0.0,9.3,48.4,1019.7,Partially cloudy
2019-02-02T00:00:00,41.3,41.3,41.3,37.9,87.57,,4.6,,256.0,38.3,0.0,,0.0,9.3,73.0,1019.4,Partially cloudy
2019-02-02T01:00:00,43.5,43.5,43.5,40.9,90.27,,8.4,,212.0,38.7,0.0,,0.0,9.9,70.9,1018.9,Partially cloudy
2019-02-02T02:00:00,43.6,43.6,43.6,41.7,92.98,,6.1,,204.0,39.9,0.0,,0.0,9.8,55.7,1018.5,Partially cloudy
2019-02-02T03:00:00,43.7,43.7,43.7,41.8,93.02,,4.1,,258.0,41.5,0.0,,0.0,8.0,70.1,1018.2,Partially cloudy
2019-02-02T04:00:00,44.6,44.6,44.6,42.8,93.51,,6.4,,196.0,41.0,0.0,,0.0,6.8,73.0,1017.7,Partially cloudy
2019-02-02T05:00:00,44.1,44.1,44.1,42.3,93.43,,5.1,,193.0,41.2,0.0,,0.0,5.1,60.7,1016.9,Partially cloudy
2019-02-02T06:00:00,45.3,45.3,45.3,43.4,93.27,,6.6,,197.0,41.7,0.0,,0.0,5.0,73.0,1016.3,Partially cloudy
2019-02-02T07:00:00,45.3,45.3,45.3,44.0,95.16,,5.9,,201.0,42.2,0.0,,0.0,5.4,73.0,1016.0,Partially cloudy
2019-02-02T08:00:00,44.8,44.8,44.8,43.7,96.04,,3.3,,253.0,43.5,0.0,,0.0,1.6,73.0,1016.0,Partially cloudy
2019-02-02T09:00:00,46.6,46.6,46.6,45.5,95.93,,5.5,,190.0,43.9,0.0,,0.0,4.1,73.0,1015.8,Partially cloudy
2019-02-02T10:00:00,48.2,48.2,48.2,47.2,96.39,,6.9,,192.0,45.1,0.0,,0.0,2.2,73.0,1015.7,Partially cloudy
2019-02-02T11:00:00,50.4,50.4,50.4,49.4,96.37,,7.5,,187.0,,0.0,,0.0,7.2,73.0,1014.9,Partially cloudy
2019-02-02T12:00:00,54.2,54.2,54.2,51.8,91.5,,11.4,17.2,203.0,,0.0,,0.0,8.9,73.0,1014.0,Partially cloudy
2019-02-02T13:00:00,55.6,55.6,55.6,51.8,87.06,,15.1,,204.0,,0.0,,0.0,8.3,73.0,1012.2,Partially cloudy
2019-02-02T14:00:00,58.4,58.4,58.4,51.8,78.73,,18.0,32.8,202.0,,0.0,,0.0,9.9,72.1,1010.5,Partially cloudy
2019-02-02T15:00:00,61.2,61.2,61.2,52.4,72.72,,19.0,26.0,201.0,,0.0,,0.0,9.9,48.8,1009.4,Partially cloudy
2019-02-02T16:00:00,61.0,61.0,61.0,51.9,71.94,,16.1,26.7,198.0,,0.0,,0.0,9.9,59.3,1009.2,Partially cloudy
2019-02-02T17:00:00,60.7,60.7,60.7,51.9,72.64,,14.9,24.1,197.0,,0.0,,0.0,9.9,49.9,1008.8,Partially cloudy
2019-02-02T18:00:00,57.1,57.1,57.1,51.2,80.73,,9.8,,192.0,,0.0,,0.0,9.9,0.0,1008.6,Clear
2019-02-02T19:00:00,55.0,55.0,55.0,50.6,84.87,,10.1,21.9,197.0,,0.0,,0.0,9.9,0.0,1008.7,Clear
2019-02-02T20:00:00,53.6,53.6,53.6,48.5,82.86,,8.8,,191.0,,0.0,,0.0,9.9,0.0,1008.9,Clear
2019-02-02T21:00:00,53.5,53.5,53.5,49.3,85.63,,10.8,,195.0,,0.0,,0.0,9.9,0.0,1008.5,Clear
2019-02-02T22:00:00,52.8,52.8,52.8,49.2,87.69,,10.9,,200.0,,0.0,,0.0,9.9,0.0,1008.7,Clear
2019-02-02T23:00:00,52.5,52.5,52.5,49.9,90.82,,15.7,17.2,202.0,,0.0,,0.0,9.9,15.3,1008.4,Clear
2019-02-03T00:00:00,54.0,54.0,54.0,51.1,89.89,,15.9,25.0,200.0,,0.0,,0.0,9.9,60.7,1007.7,Partially cloudy
2019-02-03T01:00:00,54.9,54.9,54.9,51.2,87.19,,15.9,30.7,204.0,,0.0,,0.0,9.9,73.0,1007.2,Partially cloudy
2019-02-03T02:00:00,55.0,55.0,55.0,52.4,91.03,,15.6,24.3,203.0,,0.0,,0.0,9.9,73.0,1006.9,Partially cloudy
2019-02-03T03:00:00,55.2,55.2,55.2,51.8,88.42,,14.3,17.9,205.0,,0.0,,0.0,9.9,73.0,1006.8,Partially cloudy
2019-02-03T04:00:00,55.6,55.6,55.6,52.4,88.79,,10.1,,199.0,,0.0,,0.0,9.9,73.0,1006.5,Partially cloudy
2019-02-03T05:00:00,55.6,55.6,55.6,51.8,87.05,,11.7,25.3,192.0,,0.0,,0.0,8.9,67.1,1005.8,Partially cloudy
2019-02-03T06:00:00,55.5,55.5,55.5,51.8,87.28,,8.7,21.9,189.0,,0.0,,0.0,8.9,62.8,1005.6,Partially cloudy
2019-02-03T07:00:00,54.7,54.7,54.7,51.7,89.5,,6.7,,187.0,,0.0,,0.0,8.9,70.1,1005.3,Partially cloudy
2019-02-03T08:00:00,54.9,54.9,54.9,51.7,88.97,,7.4,,187.0,,0.0,,0.0,8.9,73.0,1005.3,Partially cloudy
2019-02-03T09:00:00,55.9,55.9,55.9,51.8,86.22,,9.9,,174.0,,0.0,,0.0,8.9,73.0,1005.5,Partially cloudy
2019-02-03T10:00:00,58.2,58.2,58.2,52.5,81.28,,16.4,24.7,184.0,,0.0,,0.0,9.9,73.0,1004.6,Partially cloudy
2019-02-03T11:00:00,60.5,60.5,60.5,53.0,76.26,,18.8,29.1,197.0,,0.0,,0.0,9.9,72.1,1004.0,Partially cloudy
2019-02-03T12:00:00,62.6,62.6,62.6,53.6,72.4,,18.0,30.4,192.0,,0.0,,0.0,9.9,64.2,1003.3,Partially cloudy
2019-02-03T13:00:00,65.3,65.3,65.3,53.0,64.3,,15.9,27.2,193.0,,0.0,,0.0,9.9,34.9,1001.7,Partially cloudy
2019-02-03T14:00:00,65.9,65.9,65.9,53.0,63.01,,16.7,34.1,190.0,,0.0,,0.0,9.9,37.9,1000.6,Partially cloudy
2019-02-03T15:00:00,69.1,69.1,69.1,53.5,57.6,,19.6,28.1,195.0,,0.0,,0.0,9.9,23.1,999.0,Clear
2019-02-03T16:00:00,68.4,68.4,68.4,52.4,56.7,,17.8,28.2,187.0,,0.0,,0.0,9.9,0.0,999.0,Clear
2019-02-03T17:00:00,66.6,66.6,66.6,51.8,58.82,,17.0,23.9,171.0,,0.0,,0.0,9.9,0.0,998.3,Clear
2019-02-03T18:00:00,63.5,63.5,63.5,51.2,64.19,,10.4,,181.0,,0.0,,0.0,9.9,19.8,999.0,Clear
2019-02-03T19:00:00,60.7,60.7,60.7,51.7,72.05,,7.7,,177.0,,0.0,,0.0,9.9,68.6,999.5,Partially cloudy
2019-02-03T20:00:00,58.9,58.9,58.9,51.9,77.65,,12.1,19.7,172.0,,0.0,,0.0,9.9,0.0,999.1,Clear
2019-02-03T21:00:00,58.7,58.7,58.7,52.5,79.93,,11.7,28.9,181.0,,0.0,,0.0,9.9,0.0,999.0,Clear
2019-02-03T22:00:00,56.8,56.8,56.8,51.9,83.69,,8.2,,174.0,,0.0,,0.0,9.9,0.0,999.0,Clear
2019-02-03T23:00:00,55.7,55.7,55.7,51.2,84.97,,8.4,,177.0,,0.0,,0.0,9.9,0.0,998.8,Clear
2019-02-04T00:00:00,54.7,54.7,54.7,50.6,86.25,,9.5,17.2,233.0,,0.0,,0.0,9.9,21.7,998.2,Clear
2019-02-04T01:00:00,51.1,51.1,51.1,47.6,87.71,,9.1,23.0,265.0,,0.0,,0.0,7.6,21.7,998.9,Clear
2019-02-04T02:00:00,47.4,47.4,47.4,44.1,88.29,,10.7,,328.0,42.6,0.0,,0.0,7.0,24.6,1000.3,Clear
2019-02-04T03:00:00,39.0,39.0,39.0,35.3,86.12,,14.6,27.7,343.0,30.8,0.0,,0.0,5.5,70.6,1002.6,Partially cloudy
2019-02-04T04:00:00,32.7,32.7,32.7,29.2,86.72,,12.1,31.8,358.0,23.6,0.0,,0.0,7.6,73.0,1005.3,Partially cloudy
2019-02-04T05:00:00,30.2,30.2,30.2,26.7,86.99,,16.6,30.3,354.0,18.6,0.0,,0.0,9.9,73.0,1007.6,Partially cloudy
2019-02-04T06:00:00,27.5,27.5,27.5,23.6,85.09,,15.8,30.1,355.0,15.5,0.0,,0.0,9.9,73.0,1010.1,Partially cloudy
2019-02-04T07:00:00,25.0,25.0,25.0,20.8,84.01,,14.8,24.2,358.0,12.7,0.0,,0.0,9.9,73.0,1012.2,Partially cloudy
2019-02-04T08:00:00,23.4,23.4,23.4,18.8,82.58,,11.7,25.1,360.0,12.1,0.0,,0.0,9.9,73.0,1014.0,Partially cloudy
2019-02-04T09:00:00,22.7,22.7,22.7,16.3,76.2,,13.9,25.1,355.0,10.1,0.0,,0.0,9.9,73.0,1015.4,Partially cloudy
2019-02-04T10:00:00,22.3,22.3,22.3,15.1,73.52,,12.8,20.9,343.0,10.2,0.0,,0.0,9.9,73.0,1016.5,Partially cloudy
2019-02-04T11:00:00,22.4,22.4,22.4,13.5,68.21,,15.5,21.9,345.0,9.0,0.0,,0.0,9.9,55.4,1018.0,Partially cloudy
