datetime,AQI_PM2.5,Parameter_PM2.5,Unit_PM2.5,Value_PM2.5,Category_PM2.5,AQI_OZONE,Parameter_OZONE,Unit_OZONE,Value_OZONE,Category_OZONE
2019-02-01T00:00:00,36,PM2.5,UG/M3,8.6,1,15.0,OZONE,PPB,16.0,1.0
2019-02-01T01:00:00,36,PM2.5,UG/M3,8.6,1,15.0,OZONE,PPB,16.0,1.0
2019-02-01T02:00:00,36,PM2.5,UG/M3,8.6,1,16.0,OZONE,PPB,17.0,1.0
2019-02-01T03:00:00,36,PM2.5,UG/M3,8.6,1,16.0,OZONE,PPB,17.0,1.0
2019-02-01T04:00:00,36,PM2.5,UG/M3,8.6,1,17.0,OZONE,PPB,18.0,1.0
2019-02-01T05:00:00,36,PM2.5,UG/M3,8.6,1,18.0,OZONE,PPB,19.0,1.0
2019-02-01T06:00:00,36,PM2.5,UG/M3,8.6,1,18.0,OZONE,PPB,19.0,1.0
2019-02-01T07:00:00,36,PM2.5,UG/M3,8.6,1,18.0,OZONE,PPB,19.0,1.0
2019-02-01T08:00:00,36,PM2.5,UG/M3,8.7,1,18.0,OZONE,PPB,19.0,1.0
2019-02-01T09:00:00,36,PM2.5,UG/M3,8.7,1,19.0,OZONE,PPB,20.0,1.0
2019-02-01T10:00:00,37,PM2.5,UG/M3,8.8,1,19.0,OZONE,PPB,21.0,1.0
2019-02-01T11:00:00,37,PM2.5,UG/M3,8.9,1,20.0,OZONE,PPB,22.0,1.0
2019-02-01T12:00:00,38,PM2.5,UG/M3,9.1,1,20.0,OZONE,PPB,22.0,1.0
2019-02-01T13:00:00,39,PM2.5,UG/M3,9.4,1,19.0,OZONE,PPB,21.0,1.0
2019-02-01T14:00:00,40,PM2.5,UG/M3,9.6,1,19.0,OZONE,PPB,21.0,1.0
2019-02-01T15:00:00,40,PM2.5,UG/M3,9.7,1,19.0,OZONE,PPB,20.0,1.0
2019-02-01T16:00:00,41,PM2.5,UG/M3,9.8,1,18.0,OZONE,PPB,19.0,1.0
2019-02-01T17:00:00,41,PM2.5,UG/M3,9.8,1,16.0,OZONE,PPB,17.0,1.0
2019-02-01T18:00:00,41,PM2.5,UG/M3,9.8,1,14.0,OZONE,PPB,15.0,1.0
2019-02-01T19:00:00,41,PM2.5,UG/M3,9.8,1,12.0,OZONE,PPB,13.0,1.0
2019-02-01T20:00:00,41,PM2.5,UG/M3,9.9,1,10.0,OZONE,PPB,11.0,1.0
2019-02-01T21:00:00,41,PM2.5,UG/M3,9.9,1,10.0,OZONE,PPB,11.0,1.0
