datetime,AQI_PM2.5,AQI_OZONE
2021-03-16T00:00:00,18,26.0
2021-03-16T01:00:00,18,25.0
2021-03-16T02:00:00,19,25.0
2021-03-16T03:00:00,19,24.0
2021-03-16T04:00:00,20,22.0
2021-03-16T05:00:00,20,21.0
2021-03-16T06:00:00,20,21.0
2021-03-16T07:00:00,20,21.0
2021-03-16T08:00:00,20,20.0
2021-03-16T09:00:00,20,20.0
2021-03-16T10:00:00,21,19.0
2021-03-16T11:00:00,21,19.0
2021-03-16T12:00:00,21,21.0
2021-03-16T13:00:00,21,22.0
2021-03-16T14:00:00,21,23.0
2021-03-16T15:00:00,21,23.0
2021-03-16T16:00:00,22,23.0
2021-03-16T17:00:00,21,24.0
2021-03-16T18:00:00,22,23.0
2021-03-16T19:00:00,22,23.0
2021-03-16T20:00:00,23,22.0
2021-03-16T21:00:00,24,21.0
2021-03-16T22:00:00,24,20.0
2021-03-16T23:00:00,25,21.0
2021-03-17T00:00:00,26,20.0
2021-03-17T01:00:00,27,20.0
2021-03-17T02:00:00,28,20.0
2021-03-17T03:00:00,28,21.0
2021-03-17T04:00:00,30,19.0
2021-03-17T05:00:00,30,18.0
2021-03-17T06:00:00,30,16.0
2021-03-17T07:00:00,30,13.0
2021-03-17T08:00:00,29,12.0
2021-03-17T09:00:00,30,10.0
2021-03-17T10:00:00,30,9.0
2021-03-17T11:00:00,29,9.0
2021-03-17T12:00:00,30,9.0
2021-03-17T13:00:00,29,
2021-03-17T14:00:00,29,13.0
2021-03-17T15:00:00,29,15.0
2021-03-17T16:00:00,28,19.0
2021-03-17T17:00:00,28,17.0
2021-03-17T18:00:00,28,16.0
2021-03-17T19:00:00,27,16.0
2021-03-17T20:00:00,26,16.0
2021-03-17T21:00:00,25,14.0
2021-03-17T22:00:00,25,12.0
2021-03-17T23:00:00,24,11.0
2021-03-18T00:00:00,25,12.0
2021-03-18T01:00:00,24,14.0
2021-03-18T02:00:00,22,15.0
2021-03-18T03:00:00,22,17.0
2021-03-18T04:00:00,20,17.0
2021-03-18T05:00:00,20,17.0
2021-03-18T06:00:00,19,15.0
2021-03-18T07:00:00,19,12.0
2021-03-18T08:00:00,19,10.0
2021-03-18T09:00:00,18,8.0
2021-03-18T10:00:00,17,6.0
2021-03-18T11:00:00,17,6.0
2021-03-18T12:00:00,16,6.0
2021-03-18T13:00:00,16,6.0
2021-03-18T14:00:00,16,8.0
2021-03-18T15:00:00,17,9.0
2021-03-18T16:00:00,18,10.0
2021-03-18T17:00:00,18,10.0
2021-03-18T18:00:00,18,10.0
2021-03-18T19:00:00,18,10.0
2021-03-18T20:00:00,18,11.0
2021-03-18T21:00:00,19,12.0
2021-03-18T22:00:00,18,13.0
2021-03-18T23:00:00,18,16.0
2021-03-19T00:00:00,17,19.0
2021-03-19T01:00:00,17,22.0
2021-03-19T02:00:00,17,25.0
2021-03-19T03:00:00,17,27.0
2021-03-19T04:00:00,16,29.0
2021-03-19T05:00:00,17,31.0
2021-03-19T06:00:00,17,31.0
2021-03-19T07:00:00,18,31.0
2021-03-19T08:00:00,18,31.0
2021-03-19T09:00:00,18,31.0
2021-03-19T10:00:00,19,31.0
2021-03-19T11:00:00,20,32.0
2021-03-19T12:00:00,21,32.0
2021-03-19T13:00:00,22,33.0
2021-03-19T14:00:00,23,33.0
2021-03-19T15:00:00,23,34.0
2021-03-19T16:00:00,23,34.0
2021-03-19T17:00:00,24,33.0
2021-03-19T18:00:00,24,31.0
2021-03-19T19:00:00,25,31.0
2021-03-19T20:00:00,25,29.0
2021-03-19T21:00:00,24,27.0
2021-03-19T22:00:00,24,25.0
2021-03-19T23:00:00,24,23.0
2021-03-20T00:00:00,24,21.0
2021-03-20T01:00:00,23,19.0
2021-03-20T02:00:00,23,19.0
2021-03-20T03:00:00,23,19.0
2021-03-20T04:00:00,23,19.0
2021-03-20T05:00:00,23,17.0
2021-03-20T06:00:00,23,18.0
2021-03-20T07:00:00,23,18.0
