datetime,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Conditions
2019-02-16T00:00:00,14.8,14.8,14.8,7.9,73.82,,7.4,,24.0,4.3,0.0,,2.05,9.9,73.0,1022.5,Partially cloudy
2019-02-16T01:00:00,13.7,13.7,13.7,8.1,77.87,,8.5,,40.0,2.1,0.0,,2.19,9.9,73.0,1022.1,Partially cloudy
2019-02-16T02:00:00,11.9,11.9,11.9,6.6,78.92,,8.0,,46.0,0.4,0.0,,2.33,9.9,73.0,1021.1,Partially cloudy
2019-02-16T03:00:00,9.9,9.9,9.9,5.2,80.87,,4.1,,49.0,2.4,0.0,,2.46,9.9,10.8,1020.8,Clear
2019-02-16T04:00:00,9.5,9.5,9.5,5.2,82.3,,1.1,,355.0,,0.0,,2.6,9.9,48.4,1020.5,Partially cloudy
2019-02-16T05:00:00,10.8,10.8,10.8,6.0,80.54,,0.0,,0.0,,0.0,,2.74,9.9,48.4,1020.8,Partially cloudy
2019-02-16T06:00:00,11.0,11.0,11.0,5.5,77.85,,0.0,,0.0,,0.0,,2.88,9.9,70.1,1020.7,Partially cloudy
2019-02-16T07:00:00,12.1,12.1,12.1,6.8,78.86,,3.1,,22.0,6.5,0.0,,3.01,9.9,73.0,1019.9,Partially cloudy
2019-02-16T08:00:00,12.5,12.5,12.5,7.5,79.79,,5.3,,40.0,3.8,0.0,,3.15,9.9,73.0,1018.7,Partially cloudy
2019-02-16T09:00:00,14.2,14.2,14.2,9.4,80.9,,7.9,,71.0,3.2,0.0,,3.15,9.9,73.0,1018.4,Partially cloudy
2019-02-16T10:00:00,16.0,16.0,16.0,9.9,76.43,,8.9,,95.0,4.6,0.0,,3.15,9.9,73.0,1017.5,Partially cloudy
2019-02-16T11:00:00,17.3,17.3,17.3,10.6,74.71,,7.3,,99.0,7.5,0.0,,3.15,9.9,73.0,1016.3,Partially cloudy
2019-02-16T12:00:00,19.0,19.0,19.0,12.4,74.94,,7.2,,84.0,9.7,0.0,,3.15,9.9,73.0,1015.5,Partially cloudy
2019-02-16T13:00:00,20.6,20.6,20.6,12.6,70.81,,9.1,,92.0,10.2,0.0,,3.15,9.9,73.0,1013.9,Partially cloudy
2019-02-16T14:00:00,21.7,21.7,21.7,13.3,69.38,,8.2,,80.0,12.2,0.0,,3.15,9.9,73.0,1011.9,Partially cloudy
2019-02-16T15:00:00,22.9,22.9,22.9,13.3,66.21,,9.7,,92.0,12.7,0.0,,3.15,9.9,57.8,1010.6,Partially cloudy
2019-02-16T16:00:00,23.6,23.6,23.6,15.2,69.84,,11.4,,87.0,12.5,0.0,,3.15,7.7,67.4,1008.7,Partially cloudy
2019-02-16T17:00:00,23.6,23.6,23.6,16.5,73.9,,10.7,,86.0,12.9,0.01,,3.15,7.8,70.6,1008.3,Rain Partially cloudy
2019-02-16T18:00:00,23.2,23.2,23.2,18.3,81.47,,9.4,17.2,63.0,13.2,0.0,,3.15,6.6,65.5,1007.9,Partially cloudy
2019-02-16T19:00:00,22.5,22.5,22.5,19.0,86.46,,7.4,,55.0,13.7,0.01,,3.15,4.1,69.3,1008.7,Rain Partially cloudy
2019-02-16T20:00:00,22.5,22.5,22.5,20.3,91.07,,6.6,,57.0,14.3,0.0,,3.15,4.1,72.5,1008.7,Partially cloudy
2019-02-16T21:00:00,22.5,22.5,22.5,20.8,92.98,,2.9,,43.0,,0.01,,3.15,4.8,60.7,1009.1,Rain Partially cloudy
2019-02-16T22:00:00,22.2,22.2,22.2,20.9,94.6,,1.1,,350.0,,0.0,,3.15,3.8,69.8,1009.9,Partially cloudy
2019-02-16T23:00:00,21.8,21.8,21.8,20.3,93.93,,5.8,,15.0,14.2,0.0,,3.15,4.4,73.0,1009.1,Partially cloudy
2019-02-17T00:00:00,21.7,21.7,21.7,20.2,93.85,,2.0,,5.0,,0.0,,3.15,7.3,73.0,1009.7,Partially cloudy
2019-02-17T01:00:00,21.6,21.6,21.6,20.2,94.01,,3.8,,313.0,16.3,0.0,,3.15,7.9,73.0,1009.6,Partially cloudy
2019-02-17T02:00:00,21.6,21.6,21.6,19.7,92.23,,4.7,,305.0,15.1,0.0,,3.15,7.7,61.1,1010.2,Partially cloudy
2019-02-17T03:00:00,21.0,21.0,21.0,19.6,94.22,,4.3,,296.0,14.9,0.0,,3.15,8.3,73.0,1009.6,Partially cloudy
2019-02-17T04:00:00,20.8,20.8,20.8,18.4,90.11,,7.6,,290.0,11.6,0.0,,3.15,9.9,70.6,1009.6,Partially cloudy
2019-02-17T05:00:00,19.6,19.6,19.6,17.0,89.5,,8.6,,291.0,9.3,0.0,,3.15,9.9,73.0,1010.5,Partially cloudy
2019-02-17T06:00:00,19.3,19.3,19.3,16.3,87.86,,9.5,,281.0,8.3,0.0,,3.15,9.9,73.0,1012.0,Partially cloudy
2019-02-17T07:00:00,18.3,18.3,18.3,15.1,87.03,,7.3,,283.0,8.7,0.0,,3.15,9.9,73.0,1012.5,Partially cloudy
2019-02-17T08:00:00,16.7,16.7,16.7,13.1,85.75,,5.7,,295.0,8.3,0.0,,3.15,9.9,0.0,1012.9,Clear
2019-02-17T09:00:00,17.6,17.6,17.6,13.7,84.14,,10.6,,283.0,5.5,0.0,,3.1,9.9,24.6,1014.9,Clear
2019-02-17T10:00:00,19.5,19.5,19.5,14.4,80.21,,9.7,,288.0,8.4,0.0,,3.05,9.9,27.1,1015.6,Partially cloudy
2019-02-17T11:00:00,22.5,22.5,22.5,15.8,74.81,,11.1,18.0,307.0,11.4,0.0,,3.0,9.9,21.7,1015.8,Clear
2019-02-17T12:00:00,24.2,24.2,24.2,16.1,70.85,,12.8,19.7,315.0,12.6,0.0,,2.95,9.9,27.1,1016.6,Partially cloudy
2019-02-17T13:00:00,24.6,24.6,24.6,16.2,70.0,,12.8,21.0,317.0,13.1,0.0,,2.9,9.9,39.9,1016.7,Partially cloudy
2019-02-17T14:00:00,25.3,25.3,25.3,15.6,66.32,,12.7,21.2,308.0,14.0,0.0,,2.85,9.9,63.2,1017.1,Partially cloudy
2019-02-17T15:00:00,25.8,25.8,25.8,15.6,65.03,,10.8,20.9,302.0,15.6,0.0,,2.81,9.9,70.9,1017.6,Partially cloudy
2019-02-17T16:00:00,25.4,25.4,25.4,14.6,62.92,,12.7,22.4,315.0,14.2,0.0,,2.76,9.9,72.1,1018.5,Partially cloudy
2019-02-17T17:00:00,24.7,24.7,24.7,14.6,65.12,,14.1,22.7,316.0,12.6,0.0,,2.71,9.9,69.8,1019.3,Partially cloudy
2019-02-17T18:00:00,23.2,23.2,23.2,13.8,66.87,,10.5,19.7,317.0,12.5,0.0,,2.66,9.9,60.7,1020.5,Partially cloudy
2019-02-17T19:00:00,21.3,21.3,21.3,13.8,72.39,,6.1,,310.0,13.4,0.0,,2.61,9.9,55.2,1022.0,Partially cloudy
2019-02-17T20:00:00,19.3,19.3,19.3,12.5,74.47,,4.8,,301.0,12.4,0.0,,2.56,9.9,3.4,1023.2,Clear
2019-02-17T21:00:00,18.0,18.0,18.0,11.4,74.96,,4.9,,310.0,10.7,0.0,,2.51,9.9,21.7,1024.2,Clear
2019-02-17T22:00:00,17.2,17.2,17.2,11.1,76.52,,5.8,,313.0,8.9,0.0,,2.46,9.9,0.0,1025.3,Clear
2019-02-17T23:00:00,15.7,15.7,15.7,10.6,79.75,,5.7,,335.0,7.2,0.0,,2.41,9.9,0.0,1026.0,Clear
2019-02-18T00:00:00,14.4,14.4,14.4,9.4,80.02,,5.4,,334.0,5.9,0.0,,2.36,9.9,0.0,1026.8,Clear
2019-02-18T01:00:00,14.0,14.0,14.0,8.6,78.9,,5.5,,340.0,5.3,0.0,,2.31,9.9,0.0,1027.1,Clear
2019-02-18T02:00:00,13.0,13.0,13.0,7.9,79.79,,7.3,,333.0,2.3,0.0,,2.26,9.9,0.0,1027.2,Clear
2019-02-18T03:00:00,12.6,12.6,12.6,6.7,76.88,,8.8,,347.0,0.5,0.0,,2.21,9.9,0.0,1028.0,Clear
2019-02-18T04:00:00,11.3,11.3,11.3,6.1,79.39,,6.0,,316.0,1.6,0.0,,2.17,9.9,0.0,1029.1,Clear
2019-02-18T05:00:00,10.1,10.1,10.1,4.3,76.76,,3.7,,329.0,3.4,0.0,,2.12,9.9,0.0,1030.2,Clear
2019-02-18T06:00:00,8.9,8.9,8.9,3.6,78.54,,2.7,,324.0,,0.0,,2.07,9.9,0.0,1031.0,Clear
2019-02-18T07:00:00,6.7,6.7,6.7,2.4,82.05,,6.0,,283.0,-3.9,0.0,,2.02,9.9,12.3,1032.2,Clear
2019-02-18T08:00:00,8.4,8.4,8.4,4.0,82.11,,5.8,,262.0,-1.7,0.0,,1.97,9.9,24.6,1033.0,Clear
2019-02-18T09:00:00,12.7,12.7,12.7,6.7,76.57,,6.4,,327.0,2.8,0.0,,1.97,9.9,24.6,1034.2,Clear
2019-02-18T10:00:00,14.8,14.8,14.8,8.5,75.54,,6.1,,318.0,5.7,0.0,,1.97,8.9,72.1,1035.1,Partially cloudy
2019-02-18T11:00:00,17.2,17.2,17.2,11.1,76.61,,6.3,,329.0,8.3,0.0,,1.97,7.2,70.9,1035.7,Partially cloudy
2019-02-18T12:00:00,18.9,18.9,18.9,12.2,74.79,,4.7,,16.0,12.0,0.0,,1.97,7.8,68.6,1035.7,Partially cloudy
2019-02-18T13:00:00,21.4,21.4,21.4,13.1,69.92,,4.3,,6.0,15.4,0.0,,1.97,9.9,43.4,1034.6,Partially cloudy
2019-02-18T14:00:00,22.4,22.4,22.4,14.4,70.85,,6.8,,358.0,14.0,0.0,,1.97,9.9,57.3,1033.9,Partially cloudy
2019-02-18T15:00:00,22.8,22.8,22.8,14.9,71.09,,7.5,,13.0,14.1,0.0,,1.97,9.9,70.6,1034.0,Partially cloudy
2019-02-18T16:00:00,23.8,23.8,23.8,15.1,68.85,,4.5,,27.0,18.0,0.0,,1.97,9.9,43.7,1034.3,Partially cloudy
2019-02-18T17:00:00,23.2,23.2,23.2,15.6,72.25,,4.9,,38.0,16.9,0.0,,1.97,9.9,34.5,1034.3,Partially cloudy
2019-02-18T18:00:00,20.9,20.9,20.9,14.6,76.49,,6.2,,40.0,12.8,0.0,,1.97,9.9,42.9,1034.6,Partially cloudy
2019-02-18T19:00:00,21.2,21.2,21.2,15.1,76.96,,5.1,,51.0,14.2,0.0,,1.97,9.9,48.7,1035.0,Partially cloudy
2019-02-18T20:00:00,19.8,19.8,19.8,14.6,80.11,,5.6,,44.0,12.1,0.0,,1.97,9.9,62.2,1034.8,Partially cloudy
2019-02-18T21:00:00,18.9,18.9,18.9,14.0,80.88,,7.2,,66.0,9.5,0.0,,1.97,9.9,69.1,1035.3,Partially cloudy
2019-02-18T22:00:00,18.5,18.5,18.5,13.9,81.82,,5.9,,40.0,10.2,0.0,,1.97,9.9,52.3,1034.8,Partially cloudy
2019-02-18T23:00:00,17.0,17.0,17.0,12.5,82.15,,4.3,,51.0,10.3,0.0,,1.97,9.9,2.5,1034.8,Clear
2019-02-19T00:00:00,16.0,16.0,16.0,11.2,81.0,,2.2,,27.0,,0.0,,1.97,9.9,7.9,1035.2,Clear
2019-02-19T01:00:00,15.1,15.1,15.1,11.1,84.12,,4.2,,61.0,8.1,0.0,,1.97,9.9,24.1,1035.2,Clear
2019-02-19T02:00:00,15.4,15.4,15.4,11.3,83.3,,5.1,,29.0,7.5,0.0,,1.97,9.9,19.7,1034.3,Clear
2019-02-19T03:00:00,15.4,15.4,15.4,11.2,83.27,,3.7,,43.0,9.3,0.0,,1.97,9.9,28.7,1034.5,Partially cloudy
2019-02-19T04:00:00,14.9,14.9,14.9,10.5,82.52,,6.2,,47.0,5.7,0.0,,1.97,9.9,50.3,1033.7,Partially cloudy
2019-02-19T05:00:00,16.3,16.3,16.3,11.8,82.11,,5.7,,80.0,7.8,0.0,,1.97,9.9,21.2,1033.3,Clear
2019-02-19T06:00:00,15.4,15.4,15.4,11.2,83.06,,6.3,,69.0,6.1,0.0,,1.97,9.9,20.2,1033.0,Clear
2019-02-19T07:00:00,16.0,16.0,16.0,11.2,80.97,,7.0,,70.0,6.2,0.0,,1.97,9.9,8.9,1033.0,Clear
2019-02-19T08:00:00,17.1,17.1,17.1,11.9,79.68,,8.3,,76.0,6.5,0.0,,1.97,9.9,32.0,1032.1,Partially cloudy
2019-02-19T09:00:00,19.4,19.4,19.4,14.0,79.4,,9.5,,77.0,8.4,0.0,,2.05,9.9,41.4,1031.4,Partially cloudy
2019-02-19T10:00:00,21.5,21.5,21.5,15.3,76.8,,9.6,,91.0,10.9,0.0,,2.13,9.9,20.7,1030.6,Clear
2019-02-19T11:00:00,23.8,23.8,23.8,17.1,75.26,,12.0,,93.0,12.5,0.0,,2.21,9.9,50.3,1029.4,Partially cloudy
2019-02-19T12:00:00,25.1,25.1,25.1,18.5,75.57,,10.7,,99.0,14.8,0.0,,2.3,9.9,67.7,1028.2,Partially cloudy
2019-02-19T13:00:00,27.7,27.7,27.7,19.7,71.7,,10.6,,76.0,18.0,0.0,,2.38,9.9,60.7,1026.1,Partially cloudy
2019-02-19T14:00:00,26.8,26.8,26.8,19.7,74.25,,13.1,,70.0,15.7,0.0,,2.46,9.9,60.7,1023.8,Partially cloudy
2019-02-19T15:00:00,27.7,27.7,27.7,20.2,72.85,,10.7,,82.0,18.1,0.0,,2.54,9.9,55.2,1023.5,Partially cloudy
2019-02-19T16:00:00,28.8,28.8,28.8,20.1,69.72,,7.9,,72.0,21.0,0.0,,2.62,9.9,44.0,1023.1,Partially cloudy
2019-02-19T17:00:00,28.1,28.1,28.1,20.3,72.19,,11.9,,75.0,17.9,0.0,,2.71,9.9,38.9,1021.5,Partially cloudy
2019-02-19T18:00:00,28.6,28.6,28.6,20.8,72.3,,13.6,,86.0,17.8,0.0,,2.79,9.9,46.8,1020.3,Partially cloudy
2019-02-19T19:00:00,27.3,27.3,27.3,22.3,81.11,,12.3,18.3,83.0,16.7,0.0,,2.87,4.1,60.7,1019.5,Partially cloudy
2019-02-19T20:00:00,26.4,26.4,26.4,24.1,90.88,,15.9,20.8,87.0,14.0,0.01,,2.95,2.1,37.1,1017.9,Rain Partially cloudy
2019-02-19T21:00:00,26.4,26.4,26.4,24.1,91.2,,14.7,24.2,102.0,14.5,0.02,,3.03,1.0,57.6,1017.4,Rain Partially cloudy
2019-02-19T22:00:00,26.6,26.6,26.6,24.0,89.9,,11.5,,100.0,16.2,0.01,,3.12,3.0,60.6,1015.7,Rain Partially cloudy
2019-02-19T23:00:00,27.3,27.3,27.3,24.1,87.71,,14.9,20.8,110.0,15.5,0.0,,3.2,8.3,70.6,1014.6,Partially cloudy
2019-02-20T00:00:00,27.4,27.4,27.4,24.7,89.34,,8.2,,121.0,19.1,0.0,,3.28,7.2,72.5,1014.3,Partially cloudy
2019-02-20T01:00:00,27.2,27.2,27.2,26.0,95.1,,5.2,,121.0,21.3,0.0,,3.36,3.7,72.5,1012.8,Partially cloudy
2019-02-20T02:00:00,27.6,27.6,27.6,25.8,93.18,,1.6,,275.0,,0.0,,3.44,3.5,73.0,1012.3,Partially cloudy
2019-02-20T03:00:00,27.5,27.5,27.5,26.0,94.05,,0.0,,0.0,,0.0,,3.53,2.7,73.0,1011.0,Partially cloudy
2019-02-20T04:00:00,27.0,27.0,27.0,26.0,95.8,,0.0,,0.0,,0.0,,3.61,4.4,73.0,1010.1,Partially cloudy
2019-02-20T05:00:00,26.9,26.9,26.9,25.8,95.85,,1.5,,255.0,,0.0,,3.69,4.6,67.6,1009.4,Partially cloudy
2019-02-20T06:00:00,26.6,26.6,26.6,25.9,97.32,,2.0,,112.0,,0.0,,3.77,4.7,73.0,1008.8,Partially cloudy
2019-02-20T07:00:00,26.7,26.7,26.7,25.9,96.79,,2.0,,258.0,,0.0,,3.85,6.1,73.0,1008.3,Partially cloudy
2019-02-20T08:00:00,27.4,27.4,27.4,26.0,94.19,,7.9,,219.0,19.3,0.0,,3.94,6.4,60.7,1008.3,Partially cloudy
2019-02-20T09:00:00,29.0,29.0,29.0,26.5,90.27,,9.3,,237.0,20.4,0.0,,3.85,7.0,47.3,1008.8,Partially cloudy
2019-02-20T10:00:00,30.2,30.2,30.2,25.9,83.82,,12.5,23.0,250.0,20.3,0.0,,3.77,8.9,45.9,1009.6,Partially cloudy
2019-02-20T11:00:00,30.6,30.6,30.6,23.7,75.27,,14.6,21.5,253.0,19.9,0.0,,3.69,9.9,67.6,1010.2,Partially cloudy
2019-02-20T12:00:00,32.3,32.3,32.3,23.7,70.2,,15.2,20.4,254.0,21.9,0.0,,3.61,9.9,62.4,1010.2,Partially cloudy
2019-02-20T13:00:00,33.1,33.1,33.1,22.1,63.51,,14.1,23.0,259.0,23.3,0.0,,3.53,9.9,14.8,1010.2,Clear
2019-02-20T14:00:00,34.2,34.2,34.2,21.4,59.02,,12.3,,253.0,25.5,0.0,,3.44,9.9,0.0,1009.9,Clear
2019-02-20T15:00:00,34.5,34.5,34.5,21.7,59.23,,13.9,19.7,240.0,25.1,0.0,,3.36,9.9,0.0,1010.2,Clear
2019-02-20T16:00:00,35.4,35.4,35.4,22.3,58.66,,14.5,19.7,225.0,26.1,0.0,,3.28,9.9,0.0,1011.2,Clear
2019-02-20T17:00:00,35.4,35.4,35.4,23.6,61.82,,13.9,19.7,233.0,26.3,0.0,,3.2,9.9,0.0,1011.7,Clear
2019-02-20T18:00:00,33.7,33.7,33.7,22.3,62.61,,9.5,16.1,232.0,26.1,0.0,,3.12,9.9,0.0,1012.6,Clear
2019-02-20T19:00:00,29.8,29.8,29.8,21.4,70.48,,7.8,,229.0,22.3,0.0,,3.03,9.9,0.0,1013.8,Clear
2019-02-20T20:00:00,29.2,29.2,29.2,21.3,72.01,,5.3,,244.0,23.5,0.0,,2.95,9.9,0.0,1014.5,Clear
2019-02-20T21:00:00,26.1,26.1,26.1,19.1,74.34,,4.5,,220.0,20.7,0.0,,2.87,9.9,0.0,1015.2,Clear
2019-02-20T22:00:00,25.6,25.6,25.6,19.8,78.27,,5.5,,226.0,19.2,0.0,,2.79,9.9,0.0,1016.5,Clear
2019-02-20T23:00:00,24.2,24.2,24.2,18.7,79.21,,2.9,,287.0,,0.0,,2.71,9.9,0.0,1017.0,Clear
2019-02-21T00:00:00,22.0,22.0,22.0,16.9,80.48,,0.0,,0.0,,0.0,,2.62,8.3,0.0,1017.8,Clear
2019-02-21T01:00:00,20.3,20.3,20.3,16.7,85.89,,1.6,,85.0,,0.0,,2.54,8.0,0.0,1018.1,Clear
2019-02-21T02:00:00,17.7,17.7,17.7,13.1,81.82,,0.0,,0.0,,0.0,,2.46,7.3,0.0,1018.6,Clear
2019-02-21T03:00:00,15.6,15.6,15.6,11.3,82.63,,1.5,,69.0,,0.0,,2.38,7.8,0.0,1018.8,Clear
2019-02-21T04:00:00,15.6,15.6,15.6,11.9,84.9,,0.4,,7.0,,0.0,,2.3,5.8,0.0,1019.0,Clear
2019-02-21T05:00:00,13.5,13.5,13.5,10.2,86.49,,0.0,,0.0,,0.0,,2.21,6.5,0.0,1019.4,Clear
2019-02-21T06:00:00,14.1,14.1,14.1,10.6,85.62,,1.7,,79.0,,0.0,,2.13,6.1,0.0,1019.7,Clear
2019-02-21T07:00:00,16.6,16.6,16.6,13.8,88.78,,2.5,,20.0,,0.0,,2.05,6.4,0.0,1020.6,Clear
2019-02-21T08:00:00,17.8,17.8,17.8,15.2,89.39,,3.1,,20.0,13.0,0.0,,1.97,5.6,0.0,1021.7,Clear
2019-02-21T09:00:00,23.6,23.6,23.6,20.2,86.56,,3.5,,25.0,19.0,0.0,,1.97,7.5,2.5,1022.7,Clear
2019-02-21T10:00:00,29.7,29.7,29.7,23.0,75.72,,5.6,,92.0,23.8,0.0,,1.97,9.1,2.5,1022.3,Clear
2019-02-21T11:00:00,32.2,32.2,32.2,23.0,68.58,,8.0,,89.0,25.1,0.0,,1.97,9.9,4.4,1021.7,Clear
2019-02-21T12:00:00,34.8,34.8,34.8,24.2,64.73,,9.9,,85.0,27.3,0.0,,1.97,9.9,4.4,1020.8,Clear
2019-02-21T13:00:00,37.0,37.0,37.0,24.4,59.88,,10.5,,93.0,29.7,0.0,,1.97,9.9,2.5,1020.0,Clear
2019-02-21T14:00:00,39.5,39.5,39.5,25.0,55.82,,12.2,,104.0,32.2,0.0,,1.97,9.9,18.7,1019.5,Clear
2019-02-21T15:00:00,39.8,39.8,39.8,23.9,52.74,,9.4,20.6,110.0,33.6,0.0,,1.97,9.9,56.3,1020.5,Partially cloudy
2019-02-21T16:00:00,39.8,39.8,39.8,24.7,54.55,,9.1,,98.0,33.8,0.0,,1.97,9.9,73.0,1020.7,Partially cloudy
2019-02-21T17:00:00,39.0,39.0,39.0,25.9,58.93,,10.2,,107.0,32.4,0.0,,1.97,9.9,68.7,1020.6,Partially cloudy
2019-02-21T18:00:00,36.8,36.8,36.8,24.3,60.15,,12.3,,103.0,28.7,0.0,,1.97,9.9,49.3,1020.2,Partially cloudy
