datetime,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Wind Speed,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Conditions
2021-04-01T00:00:00,35.9,35.9,35.9,17.1,46.03,2.0,359.0,0.0,,0.0,9.9,0.0,1033.9,Clear
2021-04-01T01:00:00,29.8,29.8,29.8,17.6,60.12,1.2,8.0,0.0,,0.0,9.9,0.0,1034.5,Clear
2021-04-01T02:00:00,29.7,29.7,29.7,17.3,59.48,0.8,0.0,0.0,,0.0,9.9,0.0,1034.4,Clear
2021-04-01T03:00:00,28.2,28.2,28.2,18.5,66.54,1.9,20.0,0.0,,0.0,9.9,0.0,1034.4,Clear
2021-04-01T04:00:00,26.7,26.7,26.7,17.1,66.88,0.7,340.0,0.0,,0.0,9.9,0.0,1034.6,Clear
2021-04-01T05:00:00,25.1,25.1,25.1,17.2,71.63,0.8,342.0,0.0,,0.0,9.9,0.0,1034.8,Clear
2021-04-01T06:00:00,23.5,23.5,23.5,17.9,78.6,0.5,0.0,0.0,,0.0,9.9,0.0,1034.9,Clear
2021-04-01T07:00:00,22.1,22.1,22.1,17.9,83.35,1.3,20.0,0.0,,0.0,9.9,0.0,1035.6,Clear
2021-04-01T08:00:00,25.6,25.6,25.6,19.1,76.32,0.9,7.0,0.0,,0.0,9.9,0.0,1035.9,Clear
2021-04-01T09:00:00,33.4,33.4,33.4,22.4,63.68,1.8,66.0,0.0,,0.0,9.9,0.0,1036.1,Clear
2021-04-01T10:00:00,41.2,41.2,41.2,18.3,39.36,7.1,110.0,0.0,,0.0,9.9,0.0,1035.9,Clear
2021-04-01T11:00:00,46.1,46.1,46.1,17.7,31.79,8.8,130.0,0.0,,0.0,9.9,0.0,1035.6,Clear
2021-04-01T12:00:00,50.1,50.1,50.1,17.7,27.34,6.9,147.0,0.0,,0.0,9.9,0.0,1035.3,Clear
2021-04-01T13:00:00,53.4,53.4,53.4,17.1,23.62,7.2,183.0,0.0,,0.0,9.9,0.0,1034.4,Clear
2021-04-01T14:00:00,56.4,56.4,56.4,18.2,22.19,7.5,185.0,0.0,,0.0,9.9,0.0,1033.1,Clear
2021-04-01T15:00:00,58.2,58.2,58.2,19.5,22.06,7.8,173.0,0.0,,0.0,9.9,0.0,1031.7,Clear
2021-04-01T16:00:00,59.2,59.2,59.2,19.4,21.15,10.8,175.0,0.0,,0.0,9.9,0.0,1030.5,Clear
2021-04-01T17:00:00,59.4,59.4,59.4,19.4,20.93,11.7,150.0,0.0,,0.0,7.3,0.0,1029.3,Clear
2021-04-01T18:00:00,57.7,57.7,57.7,19.6,22.54,12.3,157.0,0.0,,0.0,6.0,39.5,1028.6,Partially cloudy
2021-04-01T19:00:00,55.5,55.5,55.5,20.2,24.97,12.4,150.0,0.0,,0.0,6.4,39.5,1028.3,Partially cloudy
2021-04-01T20:00:00,51.5,51.5,51.5,20.4,29.09,8.9,140.0,0.0,,0.0,8.4,51.8,1028.1,Partially cloudy
2021-04-01T21:00:00,48.4,48.4,48.4,20.3,32.52,12.3,141.0,0.0,,0.0,7.4,61.2,1027.9,Partially cloudy
2021-04-01T22:00:00,46.6,46.6,46.6,20.7,35.52,12.1,147.0,0.0,,0.0,7.5,19.8,1027.7,Clear
2021-04-01T23:00:00,45.5,45.5,45.5,21.4,38.13,11.3,157.0,0.0,,0.0,7.7,0.0,1027.0,Clear
2021-04-02T00:00:00,44.8,44.8,44.8,21.5,39.26,11.6,155.0,0.0,,0.0,8.7,0.0,1026.5,Clear
2021-04-02T01:00:00,43.8,43.8,43.8,21.5,40.81,10.7,160.0,0.0,,0.0,8.3,0.0,1026.3,Clear
2021-04-02T02:00:00,42.5,42.5,42.5,21.0,41.91,10.3,165.0,0.0,,0.0,9.9,0.0,1026.3,Clear
2021-04-02T03:00:00,41.4,41.4,41.4,21.0,43.79,8.3,172.0,0.0,,0.0,9.9,0.0,1025.9,Clear
2021-04-02T04:00:00,39.3,39.3,39.3,21.0,47.43,6.4,188.0,0.0,,0.0,9.9,0.0,1025.5,Clear
2021-04-02T05:00:00,40.2,40.2,40.2,20.8,45.58,8.1,175.0,0.0,,0.0,9.9,0.0,1025.2,Clear
2021-04-02T06:00:00,40.1,40.1,40.1,20.8,45.65,10.4,175.0,0.0,,0.0,9.9,0.0,1024.9,Clear
2021-04-02T07:00:00,40.8,40.8,40.8,19.8,42.58,11.0,181.0,0.0,,0.0,9.9,0.0,1024.9,Clear
2021-04-02T08:00:00,42.4,42.4,42.4,20.3,40.89,12.0,175.0,0.0,,0.0,9.9,0.0,1024.6,Clear
2021-04-02T09:00:00,47.7,47.7,47.7,21.3,34.91,17.0,187.0,0.0,,0.0,9.9,0.0,1024.2,Clear
2021-04-02T10:00:00,53.6,53.6,53.6,23.5,30.82,18.9,200.0,0.0,,0.0,9.9,0.0,1023.6,Clear
2021-04-02T11:00:00,60.9,60.9,60.9,27.2,27.64,20.7,207.0,0.0,,0.0,9.9,0.0,1023.2,Clear
2021-04-02T12:00:00,64.0,64.0,64.0,29.3,26.88,20.5,198.0,0.0,,0.0,9.9,0.0,1022.7,Clear
2021-04-02T13:00:00,69.1,69.1,69.1,30.4,23.64,24.4,207.0,0.0,,0.0,9.9,0.0,1021.3,Clear
2021-04-02T14:00:00,71.6,71.6,71.6,30.5,21.77,22.4,197.0,0.0,,0.0,9.9,0.0,1020.4,Clear
2021-04-02T15:00:00,72.3,72.3,72.3,31.0,21.73,23.8,211.0,0.0,,0.0,9.9,0.0,1019.7,Clear
2021-04-02T16:00:00,72.9,72.9,72.9,31.9,22.06,22.8,211.0,0.0,,0.0,9.9,0.0,1019.0,Clear
2021-04-02T17:00:00,72.5,72.5,72.5,32.5,22.93,19.6,201.0,0.0,,0.0,9.9,0.0,1018.6,Clear
2021-04-02T18:00:00,70.5,70.5,70.5,31.8,23.84,18.2,198.0,0.0,,0.0,9.9,0.0,1018.8,Clear
